DC,ID,CONDITION,FREQUENCY,GENDERS,AROUSAL,VALENCE
0.870795560027581,1,1,0,3,1.44444444444444,3.94444444444444
0.0241433515817774,1,1,0.025,3,1.44444444444444,3.94444444444444
0.00285005728740941,1,1,0.05,3,1.44444444444444,3.94444444444444
0.00187406417102224,1,1,0.075,3,1.44444444444444,3.94444444444444
0.00429568829782826,1,1,0.1,3,1.44444444444444,3.94444444444444
0.00749180405019125,1,1,0.125,3,1.44444444444444,3.94444444444444
0.0105891938898505,1,1,0.15,3,1.44444444444444,3.94444444444444
0.013235320488415,1,1,0.175,3,1.44444444444444,3.94444444444444
0.0153143886757629,1,1,0.2,3,1.44444444444444,3.94444444444444
0.0168298919679487,1,1,0.225,3,1.44444444444444,3.94444444444444
0.0178414846801272,1,1,0.25,3,1.44444444444444,3.94444444444444
0.018429668583548,1,1,0.275,3,1.44444444444444,3.94444444444444
0.0186769723365094,1,1,0.3,3,1.44444444444444,3.94444444444444
0.0186588771189652,1,1,0.325,3,1.44444444444444,3.94444444444444
0.0184402451748084,1,1,0.35,3,1.44444444444444,3.94444444444444
0.0180746686623351,1,1,0.375,3,1.44444444444444,3.94444444444444
0.0176052363566708,1,1,0.4,3,1.44444444444444,3.94444444444444
0.0170658829771932,1,1,0.425,3,1.44444444444444,3.94444444444444
0.0164828802241962,1,1,0.45,3,1.44444444444444,3.94444444444444
0.0158762533751827,1,1,0.475,3,1.44444444444444,3.94444444444444
0.0152610311031626,1,1,0.5,3,1.44444444444444,3.94444444444444
0.0146483016348951,1,1,0.525,3,1.44444444444444,3.94444444444444
0.0140460808937325,1,1,0.55,3,1.44444444444444,3.94444444444444
0.0134600126793172,1,1,0.575,3,1.44444444444444,3.94444444444444
0.0128939257015348,1,1,0.6,3,1.44444444444444,3.94444444444444
0.0123502721839797,1,1,0.625,3,1.44444444444444,3.94444444444444
0.0118304704212493,1,1,0.65,3,1.44444444444444,3.94444444444444
0.0113351705319167,1,1,0.675,3,1.44444444444444,3.94444444444444
0.010864459422015,1,1,0.7,3,1.44444444444444,3.94444444444444
0.0104180180052755,1,1,0.725,3,1.44444444444444,3.94444444444444
0.00999524115074081,1,1,0.75,3,1.44444444444444,3.94444444444444
0.0095953286717496,1,1,0.775,3,1.44444444444444,3.94444444444444
0.00921735390609909,1,1,0.8,3,1.44444444444444,3.94444444444444
