"Comparison","Pval_raw","Stat","Df","Pval_FDR"
"Single Resting vs Paired Resting",0.240759240759241,1.44536759077891,1,0.267510267510268
"Single Resting vs Paired Watching",0.000999000999000999,9.83607567055151,1,0.00333000333000333
"Single Resting vs Following",0.798201798201798,0.0757841520062357,1,0.798201798201798
"Single Resting vs Leading",0.0529470529470529,3.34633536742331,1,0.0882450882450882
"Paired Resting vs Paired Watching",0.040959040959041,3.74268968787874,1,0.0819180819180819
"Paired Resting vs Following",0.136863136863137,2.18296000882401,1,0.171078921078921
"Paired Resting vs Leading",0.003996003996004,9.18695022908651,1,0.00999000999000999
"Paired Watching vs Following",0.000999000999000999,11.6369988850602,1,0.00333000333000333
"Paired Watching vs Leading",0.000999000999000999,24.6340029251769,1,0.00333000333000333
"Following vs Leading",0.11988011988012,2.41514224825733,1,0.171078921078921
